"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "XML", "Markdown", "Properties", "TypeScript JSX", "Ignore", "CSS", "Java", "comment", "blank", "total"
"h:\cursor\for_fun\genarate-svg - vercel\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 5, 42
"h:\cursor\for_fun\genarate-svg - vercel\src\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"h:\cursor\for_fun\genarate-svg - vercel\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 468, 0, 0, 0, 28, 30, 526
"h:\cursor\for_fun\genarate-svg - vercel\src\app\pricing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 5, 11, 223
"h:\cursor\for_fun\genarate-svg - vercel\src\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"h:\cursor\for_fun\genarate-svg - vercel\src\app\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 10, 140
"h:\cursor\for_fun\genarate-svg - vercel\src\app\templates\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 564, 0, 0, 0, 14, 50, 628
"h:\cursor\for_fun\genarate-svg - vercel\src\app\test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 1, 14, 147
"h:\cursor\for_fun\genarate-svg - vercel\src\auth.config.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 100
"h:\cursor\for_fun\genarate-svg - vercel\src\auth.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 108
"h:\cursor\for_fun\genarate-svg - vercel\src\components\admin\AdminHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"h:\cursor\for_fun\genarate-svg - vercel\src\components\admin\AdminLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 3, 16
"h:\cursor\for_fun\genarate-svg - vercel\src\components\admin\FeedbackManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 3, 5, 60
"h:\cursor\for_fun\genarate-svg - vercel\src\components\admin\svgs\svg-list-item.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 2, 58
"h:\cursor\for_fun\genarate-svg - vercel\src\components\auth\admin-auth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 1, 8, 75
"h:\cursor\for_fun\genarate-svg - vercel\src\components\chat\ai-chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 33, 330
"h:\cursor\for_fun\genarate-svg - vercel\src\components\chat\code-block.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 4, 83
"h:\cursor\for_fun\genarate-svg - vercel\src\components\chat\prompt-config.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"h:\cursor\for_fun\genarate-svg - vercel\src\components\editor\Canvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 12, 25, 190
"h:\cursor\for_fun\genarate-svg - vercel\src\components\editor\PropertyPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 6, 7, 165
"h:\cursor\for_fun\genarate-svg - vercel\src\components\editor\Toolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 9, 78
"h:\cursor\for_fun\genarate-svg - vercel\src\components\error-boundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"h:\cursor\for_fun\genarate-svg - vercel\src\components\feedback\FeedbackDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 286, 0, 0, 0, 7, 29, 322
"h:\cursor\for_fun\genarate-svg - vercel\src\components\layout\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 276, 0, 0, 0, 2, 19, 297
"h:\cursor\for_fun\genarate-svg - vercel\src\components\layout\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 11, 7, 124
"h:\cursor\for_fun\genarate-svg - vercel\src\components\layout\UserNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 266, 0, 0, 0, 3, 15, 284
"h:\cursor\for_fun\genarate-svg - vercel\src\components\providers\dialog-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"h:\cursor\for_fun\genarate-svg - vercel\src\components\svg-editor\EditorTabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 284, 0, 0, 0, 23, 37, 344
